trial_number,state,value,proxy_value,n_params,duration_sec,base_learning_rate,weight_decay,label_smoothing,dice_weight
0,COMPLETE,0.9314032793045044,0.9314032793045044,4,1438.83436,2.9089883755334662e-05,0.0109454171923357,0.08206814400393342,0.39514547913750875
1,COMPLETE,0.9306244850158691,0.9306244850158691,4,1426.802524,2.2890300994199453e-05,0.0013741006179815167,0.06406025489661074,0.020150222604647938
2,PRUNED,,0.9265806674957275,4,759.732622,0.0003121534047308318,0.001630311094241088,0.11242734441344521,0.3691324334012306
3,PRUNED,,0.2493884414434433,4,770.693052,0.00450292480484717,0.0021220778275489217,0.017280027405637277,0.8649761111511767
4,PRUNED,,0.8872650861740112,4,760.143677,0.0005333682732268025,0.00021935889128956143,0.1855161388509351,0.735819633395393
5,PRUNED,,0.9272550344467163,4,759.069365,0.00017238006248903627,0.012184068718445872,0.168639439150575,0.478653124951989
6,PRUNED,,0.9222346544265747,4,759.523309,0.0009506226844002103,0.02284385055528516,0.1220501166395378,0.23070175879053778
7,PRUNED,,0.8758821487426758,4,760.576005,0.004014209266409242,0.0004012822798509332,0.029438691716383913,0.9819708700186777
8,PRUNED,,0.92710280418396,4,759.710718,4.9017577147922744e-05,0.0250983673345753,0.17042620702049013,0.5583270635839523
9,PRUNED,,0.2506115138530731,4,759.280739,0.006384792532208879,0.006192276305806116,0.04427326818543356,0.6557942359964655
10,COMPLETE,0.9325909614562988,0.9325909614562988,4,1422.079722,7.228894149452126e-05,0.06660916341120161,0.08089831193859741,0.22127426006928552
11,COMPLETE,0.9325248003005981,0.9325248003005981,4,1421.888383,6.562296231776718e-05,0.09316981903980322,0.07802615106883806,0.21185826468703237
12,COMPLETE,0.9332314729690552,0.9332314729690552,4,1420.428484,0.00010705452823588453,0.0890121048826105,0.09012131938873978,0.1272393317741038
13,COMPLETE,0.9333095550537109,0.9333095550537109,4,1420.365171,0.00011209184198419754,1.4738747514905373e-05,0.13764951492918043,0.012443595932833007
14,COMPLETE,0.9335483312606812,0.9335483312606812,4,1420.333019,0.0001728656780974832,2.1758071215741973e-05,0.136899980459176,0.022024232461914622
15,PRUNED,,0.9012610912322998,4,758.691613,0.0014498657688010272,1.0276226910392034e-05,0.13997659146117802,0.022506200693538134
16,COMPLETE,0.9328127503395081,0.9328127503395081,4,1421.813648,0.0002703442069836879,1.4914804579836568e-05,0.14123921559573643,0.09914884955335743
